01011111111001111000111101101100 01001110100010011001000011100101 00000000000000000000000000000000000000000000000011101001 0
00110010010101010000111110011101 10110100011101000000001010110111 00000000000000000000000000000000000000000000000110110001 0
10111111001111110011001111110011 11101011011011101110101100011000 00000000000000000000000000000000000000000000001110011111 0
00011000010011101010011110110010 10100011001101001110001100110100 00000000000000000000000000000000000000000000010011111110 0
11100001111110101101000110000100 00000111000111100010100000101110 00000000000000000000000000000000000000000000011110110011 0
10001110010110000101111111100010 00100101011000010001110100000101 00000000000000000000000000000000000000000000100101000100 0
10000111111111000001111110101110 00001010111111010011000010100000 00000000000000000000000000000000000000000000100111100001 0
01010111001000111111010100010010 01101111111111101111000101010010 00000000000000000000000000000000000000000000101100011000 0
01010010110110010011000100111001 01010110010010000110101101000011 00000000000000000000000000000000000000000000101111110001 0
11001110111010100100000101001001 11110000111110010001001101110000 00000000000000000000000000000000000000000000110001110111 0
00111110100010111110010001111100 11100111011111001101011100010110 00000000000000000000000000000000000000000000110110100010 0
11100001001100101110110001011000 01011111111000111100110100111100 00000000000000000000000000000000000000000000111100010000 0
01011111001000101010010101101011 01101101000010011011011100001010 00000000000000000000000000000000000000000000111110101010 0
00110001000101011101001000110111 00110010010000110110101001010011 00000000000000000000000000000000000000000001000001011101 0
00111011111101101010101101010001 01111101010011000111001010100011 00000000000000000000000000000000000000000001000111010100 0
00010101100111000100011110110000 11001010100000010111010010000010 00000000000000000000000000000000000000000001001011111111 1
00000001001010101010101101100111 00101010001110111101001001101111 00000000000000000000000000000000000000000000000001101001 0
01001010011110100000101101111010 11110010100111001101001010001111 00000000000000000000000000000000000000000000001000001111 0
01101100111110101111010011100111 01110101111000011101011111100100 00000000000000000000000000000000000000000000001001010001 0
00110110010010011011101101000101 00001111110111010010010101100010 00000000000000000000000000000000000000000000001110111111 0
10110000110101111110100011110001 01110111001011011011101011110111 00000000000000000000000000000000000000000000010011010110 0
01001111101000010000000001110110 01001101001101110000100001111111 00000000000000000000000000000000000000000000010101010011 0
10011011110000101100011101110100 10111000001011000000010001101010 00000000000000000000000000000000000000000000011011010011 0
00111110100000000110011000110010 10010101011101001111010011101001 00000000000000000000000000000000000000000000100001111011 0
